customer_id,age,monthly_charges,total_charges,contract_length_months,internet_service,online_security,tech_support,num_complaints,customer_service_calls,account_age_months,payment_method,paperless_billing,service_quality_score,avg_response_time_hours,churn,lifetime_value,subscription_score
1,56,84.04035221907304,4796.363047970767,12,Fiber optic,No,No,3,9,41,Bank transfer,No,5.043339027377552,0.27345811543891585,0,3272.965519739479,76.25155803925585
2,69,62.73770933737607,4024.458184987438,12,No,No,No,1,7,47,Electronic check,Yes,6.875320301328188,5.91061481673692,1,2103.9466097634727,132.891972330261
3,46,102.34211106117435,7903.5056096976095,12,DSL,No,No,1,9,54,Electronic check,Yes,8.705315352576585,1.696715589079836,0,5694.437606695424,182.1847738472012
4,32,51.2189304411651,1177.8740451981917,12,Fiber optic,No,Yes,0,8,55,Check,Yes,3.5841865346842896,0.7293078430343476,1,2032.124364631195,66.58482458355172
5,60,29.86223265412631,5591.6419769759905,1,DSL,No,No,2,0,19,Check,No,2.653555063072936,1.3684724954741265,1,686.4390361291086,92.3877010613093
6,25,36.7543638483844,3294.1182680239076,12,DSL,Yes,No,4,6,62,Check,Yes,4.409627183654995,1.39282424506656,1,1514.1302195796275,36.392178842244874
7,38,36.64595906451042,3482.7769579123565,1,Fiber optic,No,No,0,7,59,Credit card,Yes,9.049447687346701,0.04712501565604519,1,1499.3549472999784,126.97731901691797
8,56,39.747350156598266,5769.022348699592,24,Fiber optic,No,No,4,2,65,Credit card,Yes,1.0887465550342552,0.8784363302253978,0,2630.815852479987,26.903010958291237
9,36,38.04753244442332,5570.24559546252,24,No,No,No,1,3,68,Credit card,Yes,7.100817544519709,2.6931152510498593,0,2753.7430340680257,122.99776711883464
10,40,103.3137168244179,7930.922350247288,24,Fiber optic,Yes,No,4,2,28,Check,Yes,5.294440417704234,1.4269821995752352,1,1986.05690351823,88.87533665643699
11,28,43.64441097188883,1114.3148866875895,12,DSL,No,Yes,2,6,18,Bank transfer,Yes,2.4494159346461206,0.560036673433442,0,971.0862262806806,55.077429148325244
12,28,64.93674683210222,922.4662301349141,12,DSL,Yes,No,0,8,26,Electronic check,Yes,3.8891937364702,0.8162669100737714,0,2009.280359245647,168.48008139435004
13,41,136.58249328778152,5822.276655317055,1,DSL,No,No,2,2,19,Credit card,Yes,3.024550394893305,3.976342924069464,0,2491.4531419875148,2.9763840747513512
14,70,81.6150132341734,4669.256644350632,24,DSL,No,No,2,5,55,Bank transfer,No,8.9004895110111,1.4911966906740877,0,4455.893851937557,178.90159736255305
15,53,106.78250600773353,2265.8692658224663,1,Fiber optic,No,No,0,7,57,Check,No,5.336860455504912,1.5030451883280973,1,4454.173908063798,103.26970034693738
16,57,42.40158325621188,727.4130150129942,12,DSL,Yes,No,2,5,6,Credit card,Yes,6.067848500852435,6.512504350461862,0,639.9151743646865,94.10114217668671
17,41,44.997572445127204,776.7001718118013,1,Fiber optic,No,No,3,1,1,Check,Yes,6.343188574033186,0.7739189932547034,1,158.69015778781315,102.26473467408331
18,20,25.312920114642253,7164.107909846534,1,DSL,Yes,No,3,6,8,Bank transfer,No,6.756554121421205,1.3060888096389613,1,0.0,126.33453513416816
19,39,41.961558199381386,1615.7518652780689,12,Fiber optic,Yes,Yes,3,1,51,Credit card,No,5.46000121338337,3.3395821179904153,0,2179.6739221130742,51.66543175860314
20,70,56.21674407415462,2654.635340712614,1,DSL,No,No,4,1,25,Credit card,Yes,1.1608617775268424,2.8451885985248015,0,1597.4572722069638,13.443932859239801
21,19,43.011362955977084,1890.5855775932052,24,Fiber optic,No,Yes,2,1,47,Credit card,No,4.012504182231867,0.6179460411422661,0,1859.0203454563484,124.1280170527373
22,41,31.53132938841723,2904.470816072305,12,Fiber optic,No,No,0,0,55,Credit card,Yes,2.654859166488921,0.327606678834519,0,1518.547075695086,36.32993186314849
23,61,35.6826632430781,648.4483576941376,1,Fiber optic,No,Yes,0,0,64,Bank transfer,Yes,7.121285586205092,2.4126483077481553,0,2214.693844245741,155.2619531451281
24,47,79.90123984425435,4200.572348175336,12,Fiber optic,No,No,4,6,10,Credit card,Yes,1.51034186233042,0.5958855391278591,0,930.939108130262,0.0
25,55,46.82338339275303,634.1392523784978,1,No,No,No,0,4,56,Electronic check,No,6.074230520004798,5.11949735059711,0,2348.266620825759,86.18238543729447
26,19,67.3550819362498,6422.816411796656,1,Fiber optic,Yes,No,3,2,12,Electronic check,Yes,2.8956855004687085,0.27679544287091506,0,669.6452257006831,0.0
27,38,85.44424521113139,1946.325447092421,24,No,No,No,2,0,33,Check,No,9.53961254620355,0.7663757965157513,0,2874.392068996804,184.93200312308016
28,50,109.75132772181749,4366.094125375634,1,No,No,No,0,9,71,Credit card,Yes,4.01986847967882,0.11269048259680535,1,5672.744738504092,113.1002427979131
29,29,25.110578179342863,7052.62479173552,24,DSL,Yes,Yes,0,5,17,Electronic check,Yes,3.926990722371708,2.4301032762782966,0,484.9219776679157,82.80186564155886
30,39,123.92335185817555,5241.931215472834,1,Fiber optic,Yes,No,1,0,61,Electronic check,Yes,9.310462011916513,4.4376398552876495,0,7634.261420135246,151.25580061180366
31,61,101.62705063381802,4310.366513755549,1,Fiber optic,No,No,1,8,10,Electronic check,No,4.756131282737272,2.020513531215932,1,912.3736982466783,44.40493454918425
32,42,30.628674153353348,2662.2366496114673,24,DSL,Yes,Yes,1,1,31,Bank transfer,Yes,9.66576100767168,5.553290373524426,0,1268.9404608492162,132.5167958893485
33,66,133.56522113388104,2730.715113159764,12,Fiber optic,Yes,No,2,0,60,Credit card,Yes,1.2175331692015314,0.2750879583029659,0,8311.015645405956,69.82294855770935
